HCLk-017.kin - RawData;;;;;;;;;;;;;;;
Time ( Second );Abs.;;;;;;;;;;;;;;
150;2,9557;;;;;;;;;;;;;;
151;2,9526;;;;;;;;;;;;;;
152;2,9508;;;;;;;;;;;;;;
153;2,9403;;;;;;;;;;;;;;
154;2,9388;;;;;;;;;;;;;;
155;2,9418;;;;;;;;;;;;;;
156;2,9359;;;;;;;;;;;;;;
157;2,9329;;;;;;;;;;;;;;
158;2,9287;;;;;;;;;;;;;;
159;2,9314;;;;;;;;;;;;;;
160;2,933;;;;;;;;;;;;;;
161;2,9285;;;;;;;;;;;;;;
162;2,9258;;;;;;;;;;;;;;
163;2,9272;;;;;;;;;;;;;;
164;2,9212;;;;;;;;;;;;;;
165;2,9228;;;;;;;;;;;;;;
166;2,9131;;;;;;;;;;;;;;
167;2,9158;;;;;;;;;;;;;;
168;2,9145;;;;;;;;;;;;;;
169;2,9115;;;;;;;;;;;;;;
170;2,9088;;;;;;;;;;;;;;
171;2,9075;;;;;;;;;;;;;;
172;2,9075;;;;;;;;;;;;;;
173;2,9088;;;;;;;;;;;;;;
174;2,9046;;;;;;;;;;;;;;
175;2,8995;;;;;;;;;;;;;;
176;2,897;;;;;;;;;;;;;;
177;2,8941;;;;;;;;;;;;;;
178;2,8955;;;;;;;;;;;;;;
179;2,8951;;;;;;;;;;;;;;
180;2,8873;;;;;;;;;;;;;;
181;2,8903;;;;;;;;;;;;;;
182;2,8845;;;;;;;;;;;;;;
183;2,8835;;;;;;;;;;;;;;
184;2,881;;;;;;;;;;;;;;
185;2,877;;;;;;;;;;;;;;
186;2,8784;;;;;;;;;;;;;;
187;2,8734;;;;;;;;;;;;;;
188;2,8709;;;;;;;;;;;;;;
189;2,8719;;;;;;;;;;;;;;
190;2,8693;;;;;;;;;;;;;;
191;2,8668;;;;;;;;;;;;;;
192;2,8656;;;;;;;;;;;;;;
193;2,8659;;;;;;;;;;;;;;
194;2,8571;;;;;;;;;;;;;;
195;2,8607;;;;;;;;;;;;;;
196;2,857;;;;;;;;;;;;;;
197;2,8532;;;;;;;;;;;;;;
198;2,8534;;;;;;;;;;;;;;
199;2,8556;;;;;;;;;;;;;;
200;2,8483;;;;;;;;;;;;;;
201;2,8458;;;;;;;;;;;;;;
202;2,8447;;;;;;;;;;;;;;
203;2,8449;;;;;;;;;;;;;;
204;2,8389;;;;;;;;;;;;;;
205;2,839;;;;;;;;;;;;;;
206;2,8344;;;;;;;;;;;;;;
207;2,8388;;;;;;;;;;;;;;
208;2,8354;;;;;;;;;;;;;;
209;2,8331;;;;;;;;;;;;;;
210;2,8259;;;;;;;;;;;;;;
211;2,8282;;;;;;;;;;;;;;
212;2,8308;;;;;;;;;;;;;;
213;2,8238;;;;;;;;;;;;;;
214;2,8219;;;;;;;;;;;;;;
215;2,8229;;;;;;;;;;;;;;
216;2,8205;;;;;;;;;;;;;;
217;2,8139;;;;;;;;;;;;;;
218;2,8128;;;;;;;;;;;;;;
219;2,8117;;;;;;;;;;;;;;
220;2,8062;;;;;;;;;;;;;;
221;2,805;;;;;;;;;;;;;;
222;2,8071;;;;;;;;;;;;;;
223;2,8029;;;;;;;;;;;;;;
224;2,8019;;;;;;;;;;;;;;
225;2,7985;;;;;;;;;;;;;;
226;2,7998;;;;;;;;;;;;;;
227;2,7967;;;;;;;;;;;;;;
228;2,7914;;;;;;;;;;;;;;
229;2,7913;;;;;;;;;;;;;;
230;2,7892;;;;;;;;;;;;;;
231;2,7892;;;;;;;;;;;;;;
232;2,7894;;;;;;;;;;;;;;
233;2,784;;;;;;;;;;;;;;
234;2,7818;;;;;;;;;;;;;;
235;2,779;;;;;;;;;;;;;;
236;2,7726;;;;;;;;;;;;;;
237;2,775;;;;;;;;;;;;;;
238;2,7787;;;;;;;;;;;;;;
239;2,7737;;;;;;;;;;;;;;
240;2,7709;;;;;;;;;;;;;;
241;2,7669;;;;;;;;;;;;;;
242;2,7688;;;;;;;;;;;;;;
243;2,7599;;;;;;;;;;;;;;
244;2,7601;;;;;;;;;;;;;;
245;2,7628;;;;;;;;;;;;;;
246;2,7549;;;;;;;;;;;;;;
247;2,7526;;;;;;;;;;;;;;
248;2,7588;;;;;;;;;;;;;;
249;2,7501;;;;;;;;;;;;;;
250;2,7533;;;;;;;;;;;;;;
251;2,7501;;;;;;;;;;;;;;
252;2,7493;;;;;;;;;;;;;;
253;2,7418;;;;;;;;;;;;;;
254;2,7388;;;;;;;;;;;;;;
255;2,7352;;;;;;;;;;;;;;
256;2,7344;;;;;;;;;;;;;;
257;2,7388;;;;;;;;;;;;;;
258;2,7332;;;;;;;;;;;;;;
259;2,7332;;;;;;;;;;;;;;
260;2,7279;;;;;;;;;;;;;;
261;2,7278;;;;;;;;;;;;;;
262;2,7259;;;;;;;;;;;;;;
263;2,7222;;;;;;;;;;;;;;
264;2,7232;;;;;;;;;;;;;;
265;2,7187;;;;;;;;;;;;;;
266;2,717;;;;;;;;;;;;;;
267;2,7153;;;;;;;;;;;;;;
268;2,7125;;;;;;;;;;;;;;
269;2,7108;;;;;;;;;;;;;;
270;2,711;;;;;;;;;;;;;;
271;2,7126;;;;;;;;;;;;;;
272;2,7048;;;;;;;;;;;;;;
273;2,7004;;;;;;;;;;;;;;
274;2,7028;;;;;;;;;;;;;;
275;2,6997;;;;;;;;;;;;;;
276;2,6944;;;;;;;;;;;;;;
277;2,6952;;;;;;;;;;;;;;
278;2,6887;;;;;;;;;;;;;;
279;2,6972;;;;;;;;;;;;;;
280;2,6921;;;;;;;;;;;;;;
281;2,6896;;;;;;;;;;;;;;
282;2,6847;;;;;;;;;;;;;;
283;2,6839;;;;;;;;;;;;;;
284;2,6812;;;;;;;;;;;;;;
285;2,6807;;;;;;;;;;;;;;
286;2,6781;;;;;;;;;;;;;;
287;2,6764;;;;;;;;;;;;;;
288;2,6733;;;;;;;;;;;;;;
289;2,6756;;;;;;;;;;;;;;
290;2,6725;;;;;;;;;;;;;;
291;2,6693;;;;;;;;;;;;;;
292;2,6653;;;;;;;;;;;;;;
293;2,6653;;;;;;;;;;;;;;
294;2,6629;;;;;;;;;;;;;;
295;2,6592;;;;;;;;;;;;;;
296;2,6574;;;;;;;;;;;;;;
297;2,6559;;;;;;;;;;;;;;
298;2,6551;;;;;;;;;;;;;;
299;2,6538;;;;;;;;;;;;;;
300;2,6528;;;;;;;;;;;;;;
