HCLk-018.kin - RawData;;;;;;;;;;;;;;;;
Time ( Second );Abs.;;;;;;;;;;;;;;;
143;2,6288;;;;;;;;;;;;;;;
144;2,6218;;;;;;;;;;;;;;;
145;2,6201;;;;;;;;;;;;;;;
146;2,6145;;;;;;;;;;;;;;;
147;2,6088;;;;;;;;;;;;;;;
148;2,6062;;;;;;;;;;;;;;;
149;2,6037;;;;;;;;;;;;;;;
150;2,5973;;;;;;;;;;;;;;;
151;2,5948;;;;;;;;;;;;;;;
152;2,5913;;;;;;;;;;;;;;;
153;2,5882;;;;;;;;;;;;;;;
154;2,5835;;;;;;;;;;;;;;;
155;2,5789;;;;;;;;;;;;;;;
156;2,5738;;;;;;;;;;;;;;;
157;2,5714;;;;;;;;;;;;;;;
158;2,5653;;;;;;;;;;;;;;;
159;2,5635;;;;;;;;;;;;;;;
160;2,5564;;;;;;;;;;;;;;;
161;2,5551;;;;;;;;;;;;;;;
162;2,552;;;;;;;;;;;;;;;
163;2,5483;;;;;;;;;;;;;;;
164;2,5431;;;;;;;;;;;;;;;
165;2,5384;;;;;;;;;;;;;;;
166;2,5352;;;;;;;;;;;;;;;
167;2,5296;;;;;;;;;;;;;;;
168;2,5253;;;;;;;;;;;;;;;
169;2,5221;;;;;;;;;;;;;;;
170;2,5192;;;;;;;;;;;;;;;
171;2,5132;;;;;;;;;;;;;;;
172;2,5075;;;;;;;;;;;;;;;
173;2,506;;;;;;;;;;;;;;;
174;2,5034;;;;;;;;;;;;;;;
175;2,499;;;;;;;;;;;;;;;
176;2,4943;;;;;;;;;;;;;;;
177;2,4895;;;;;;;;;;;;;;;
178;2,4859;;;;;;;;;;;;;;;
179;2,4853;;;;;;;;;;;;;;;
180;2,4783;;;;;;;;;;;;;;;
181;2,474;;;;;;;;;;;;;;;
182;2,4711;;;;;;;;;;;;;;;
183;2,4675;;;;;;;;;;;;;;;
184;2,4627;;;;;;;;;;;;;;;
185;2,4567;;;;;;;;;;;;;;;
186;2,4541;;;;;;;;;;;;;;;
187;2,451;;;;;;;;;;;;;;;
188;2,4473;;;;;;;;;;;;;;;
189;2,4437;;;;;;;;;;;;;;;
190;2,4394;;;;;;;;;;;;;;;
191;2,4357;;;;;;;;;;;;;;;
192;2,4312;;;;;;;;;;;;;;;
193;2,4283;;;;;;;;;;;;;;;
194;2,4242;;;;;;;;;;;;;;;
195;2,4217;;;;;;;;;;;;;;;
196;2,4145;;;;;;;;;;;;;;;
197;2,4129;;;;;;;;;;;;;;;
198;2,4079;;;;;;;;;;;;;;;
199;2,407;;;;;;;;;;;;;;;
200;2,4006;;;;;;;;;;;;;;;
201;2,3979;;;;;;;;;;;;;;;
202;2,3918;;;;;;;;;;;;;;;
203;2,3901;;;;;;;;;;;;;;;
204;2,3835;;;;;;;;;;;;;;;
205;2,382;;;;;;;;;;;;;;;
206;2,376;;;;;;;;;;;;;;;
207;2,3742;;;;;;;;;;;;;;;
208;2,3697;;;;;;;;;;;;;;;
209;2,3659;;;;;;;;;;;;;;;
210;2,3615;;;;;;;;;;;;;;;
211;2,3581;;;;;;;;;;;;;;;
212;2,3545;;;;;;;;;;;;;;;
213;2,3505;;;;;;;;;;;;;;;
214;2,346;;;;;;;;;;;;;;;
215;2,3427;;;;;;;;;;;;;;;
216;2,3391;;;;;;;;;;;;;;;
217;2,3348;;;;;;;;;;;;;;;
218;2,3309;;;;;;;;;;;;;;;
219;2,3265;;;;;;;;;;;;;;;
220;2,3239;;;;;;;;;;;;;;;
221;2,3199;;;;;;;;;;;;;;;
222;2,316;;;;;;;;;;;;;;;
223;2,3117;;;;;;;;;;;;;;;
224;2,3088;;;;;;;;;;;;;;;
225;2,3044;;;;;;;;;;;;;;;
226;2,3002;;;;;;;;;;;;;;;
227;2,2957;;;;;;;;;;;;;;;
228;2,2952;;;;;;;;;;;;;;;
229;2,2888;;;;;;;;;;;;;;;
230;2,2858;;;;;;;;;;;;;;;
231;2,2825;;;;;;;;;;;;;;;
232;2,2784;;;;;;;;;;;;;;;
233;2,2736;;;;;;;;;;;;;;;
234;2,2695;;;;;;;;;;;;;;;
235;2,2664;;;;;;;;;;;;;;;
236;2,263;;;;;;;;;;;;;;;
237;2,259;;;;;;;;;;;;;;;
238;2,2548;;;;;;;;;;;;;;;
239;2,2516;;;;;;;;;;;;;;;
240;2,247;;;;;;;;;;;;;;;
241;2,2431;;;;;;;;;;;;;;;
242;2,2405;;;;;;;;;;;;;;;
243;2,2371;;;;;;;;;;;;;;;
244;2,2334;;;;;;;;;;;;;;;
245;2,2292;;;;;;;;;;;;;;;
246;2,2255;;;;;;;;;;;;;;;
247;2,2212;;;;;;;;;;;;;;;
248;2,2177;;;;;;;;;;;;;;;
249;2,2134;;;;;;;;;;;;;;;
250;2,21;;;;;;;;;;;;;;;
251;2,2063;;;;;;;;;;;;;;;
252;2,2026;;;;;;;;;;;;;;;
253;2,1972;;;;;;;;;;;;;;;
254;2,195;;;;;;;;;;;;;;;
255;2,1921;;;;;;;;;;;;;;;
256;2,1873;;;;;;;;;;;;;;;
257;2,1833;;;;;;;;;;;;;;;
258;2,1795;;;;;;;;;;;;;;;
259;2,1756;;;;;;;;;;;;;;;
260;2,1724;;;;;;;;;;;;;;;
261;2,1688;;;;;;;;;;;;;;;
262;2,1649;;;;;;;;;;;;;;;
263;2,1624;;;;;;;;;;;;;;;
264;2,1568;;;;;;;;;;;;;;;
265;2,1529;;;;;;;;;;;;;;;
266;2,1494;;;;;;;;;;;;;;;
267;2,1453;;;;;;;;;;;;;;;
268;2,1424;;;;;;;;;;;;;;;
269;2,1391;;;;;;;;;;;;;;;
270;2,1357;;;;;;;;;;;;;;;
271;2,1317;;;;;;;;;;;;;;;
272;2,1276;;;;;;;;;;;;;;;
273;2,1227;;;;;;;;;;;;;;;
274;2,1199;;;;;;;;;;;;;;;
275;2,1158;;;;;;;;;;;;;;;
276;2,1131;;;;;;;;;;;;;;;
277;2,1084;;;;;;;;;;;;;;;
278;2,1059;;;;;;;;;;;;;;;
279;2,1012;;;;;;;;;;;;;;;
280;2,0973;;;;;;;;;;;;;;;
281;2,0948;;;;;;;;;;;;;;;
282;2,0907;;;;;;;;;;;;;;;
283;2,0873;;;;;;;;;;;;;;;
284;2,0839;;;;;;;;;;;;;;;
285;2,0792;;;;;;;;;;;;;;;
286;2,0764;;;;;;;;;;;;;;;
287;2,0717;;;;;;;;;;;;;;;
288;2,0673;;;;;;;;;;;;;;;
289;2,0635;;;;;;;;;;;;;;;
290;2,0603;;;;;;;;;;;;;;;
291;2,0564;;;;;;;;;;;;;;;
292;2,0527;;;;;;;;;;;;;;;
293;2,0486;;;;;;;;;;;;;;;
294;2,0454;;;;;;;;;;;;;;;
295;2,0414;;;;;;;;;;;;;;;
296;2,0382;;;;;;;;;;;;;;;
297;2,0348;;;;;;;;;;;;;;;
298;2,0306;;;;;;;;;;;;;;;
299;2,0272;;;;;;;;;;;;;;;
300;2,0237;;;;;;;;;;;;;;;
