

Цикл № 1
Шаг  № 1
Точек  96
Линейная потенцио. развертка , ЭДС 307,84мВ, Скорость развертки 5,0013 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.822600               310.590000                 0.824850
1.645200               314.580000                 1.797300
2.467700               318.350000                 2.786600
3.290300               322.010000                 3.622800
4.112900               325.940000                 4.731500
4.935500               329.830000                 5.261000
5.758000               334.080000                 5.041400
6.580600               338.270000                 6.276900
7.403200               342.530000                 6.112600
8.225800               346.860000                 6.761400
9.048300               350.990000                 7.282300
9.870900               354.890000                 8.140600
10.693500               358.860000                 8.013700
11.516100               362.990000                 8.612500
12.338600               367.100000                 11.662000
13.161200               371.310000                 9.637300
13.983800               375.620000                 10.748000
14.806400               379.780000                 10.753000
15.629000               384.160000                 10.822000
16.451500               388.320000                 11.667000
17.274100               392.310000                 9.660700
18.096700               396.030000                 11.391000
18.919300               400.080000                 12.593000
19.741800               404.100000                 11.224000
20.564400               408.130000                 11.677000
21.387000               412.330000                 12.626000
22.209600               416.630000                 13.418000
23.032100               420.730000                 11.543000
23.854700               424.840000                 12.166000
24.677300               429.030000                 14.033000
25.499900               433.060000                 12.698000
26.322400               437.130000                 11.210000
27.145000               441.130000                 13.755000
27.967600               445.290000                 11.432000
28.790200               449.660000                 12.833000
29.612700               453.780000                 13.335000
30.435300               458.190000                 12.788000
31.257900               462.500000                 11.436000
32.080500               466.630000                 13.663000
32.903100               470.610000                 15.299000
33.725600               474.290000                 12.772000
34.548200               478.330000                 12.258000
35.370800               482.240000                 13.674000
36.193400               486.310000                 12.434000
37.015900               490.480000                 13.006000
37.838500               494.570000                 11.325000
38.661100               498.770000                 11.396000
39.483700               503.160000                 12.181000
40.306200               507.160000                 14.614000
41.128800               511.240000                 11.230000
41.951400               515.190000                 12.913000
42.774000               519.380000                 12.397000
43.596500               523.430000                 13.496000
44.419100               527.620000                 11.044000
45.241700               531.740000                 12.950000
46.064300               536.070000                 12.097000
46.886900               540.330000                 10.742000
47.709400               544.450000                 11.135000
48.532000               548.480000                 11.625000
49.354600               552.350000                 11.373000
50.177200               556.310000                 12.844000
50.999700               560.320000                 12.080000
51.822300               564.490000                 13.378000
52.644900               568.590000                 12.777000
53.467500               572.890000                 10.828000
54.290000               577.080000                 11.433000
55.112600               581.180000                 12.093000
55.935200               585.220000                 14.010000
56.757800               589.280000                 12.446000
57.580300               593.290000                 11.841000
58.402900               597.540000                 10.822000
59.225500               601.740000                 10.732000
60.048100               605.970000                 10.798000
60.870600               610.510000                 11.850000
61.693200               614.990000                 12.290000
62.515800               619.280000                 14.186000
63.338400               623.490000                 11.438000
64.161000               627.360000                 12.348000
64.983500               630.900000                 12.132000
65.806100               634.540000                 13.208000
66.628700               638.410000                 11.633000
67.451300               642.500000                 11.111000
68.273800               646.470000                 14.402000
69.096400               650.790000                 12.397000
69.919000               655.010000                 13.580000
70.741600               659.270000                 11.931000
71.564100               663.450000                 12.764000
72.386700               667.530000                 15.563000
73.209300               671.370000                 12.807000
74.031900               675.440000                 11.809000
74.854400               679.630000                 12.559000
75.677000               683.760000                 13.322000
76.499600               687.990000                 12.766000
77.322200               692.450000                 12.706000
78.144800               696.790000                 11.621000
78.967300               700.820000                 11.616000
