HCLk-009.kin - RawData;;;;;;;;;;;;;;;;
Time ( Second );Abs.;;;;;;;;;;;;;;;
143;1,2575;;;;;;;;;;;;;;;
144;1,2545;;;;;;;;;;;;;;;
145;1,2515;;;;;;;;;;;;;;;
146;1,2485;;;;;;;;;;;;;;;
147;1,2455;;;;;;;;;;;;;;;
148;1,2426;;;;;;;;;;;;;;;
149;1,2395;;;;;;;;;;;;;;;
150;1,2366;;;;;;;;;;;;;;;
151;1,2336;;;;;;;;;;;;;;;
152;1,2306;;;;;;;;;;;;;;;
153;1,2277;;;;;;;;;;;;;;;
154;1,2247;;;;;;;;;;;;;;;
155;1,2218;;;;;;;;;;;;;;;
156;1,2188;;;;;;;;;;;;;;;
157;1,2159;;;;;;;;;;;;;;;
158;1,2129;;;;;;;;;;;;;;;
159;1,2099;;;;;;;;;;;;;;;
160;1,207;;;;;;;;;;;;;;;
161;1,204;;;;;;;;;;;;;;;
162;1,201;;;;;;;;;;;;;;;
163;1,1981;;;;;;;;;;;;;;;
164;1,195;;;;;;;;;;;;;;;
165;1,1921;;;;;;;;;;;;;;;
166;1,1893;;;;;;;;;;;;;;;
167;1,1864;;;;;;;;;;;;;;;
168;1,1833;;;;;;;;;;;;;;;
169;1,1804;;;;;;;;;;;;;;;
170;1,1775;;;;;;;;;;;;;;;
171;1,1746;;;;;;;;;;;;;;;
172;1,1717;;;;;;;;;;;;;;;
173;1,1686;;;;;;;;;;;;;;;
174;1,1657;;;;;;;;;;;;;;;
175;1,1627;;;;;;;;;;;;;;;
176;1,1599;;;;;;;;;;;;;;;
177;1,1568;;;;;;;;;;;;;;;
178;1,1539;;;;;;;;;;;;;;;
179;1,1512;;;;;;;;;;;;;;;
180;1,1481;;;;;;;;;;;;;;;
181;1,1453;;;;;;;;;;;;;;;
182;1,1422;;;;;;;;;;;;;;;
183;1,1393;;;;;;;;;;;;;;;
184;1,1365;;;;;;;;;;;;;;;
185;1,1335;;;;;;;;;;;;;;;
186;1,1304;;;;;;;;;;;;;;;
187;1,1275;;;;;;;;;;;;;;;
188;1,1247;;;;;;;;;;;;;;;
189;1,1217;;;;;;;;;;;;;;;
190;1,1187;;;;;;;;;;;;;;;
191;1,1159;;;;;;;;;;;;;;;
192;1,113;;;;;;;;;;;;;;;
193;1,1101;;;;;;;;;;;;;;;
194;1,1074;;;;;;;;;;;;;;;
195;1,1043;;;;;;;;;;;;;;;
196;1,1016;;;;;;;;;;;;;;;
197;1,0985;;;;;;;;;;;;;;;
198;1,0957;;;;;;;;;;;;;;;
199;1,0929;;;;;;;;;;;;;;;
200;1,0899;;;;;;;;;;;;;;;
201;1,0869;;;;;;;;;;;;;;;
202;1,0841;;;;;;;;;;;;;;;
203;1,0814;;;;;;;;;;;;;;;
204;1,0782;;;;;;;;;;;;;;;
205;1,0755;;;;;;;;;;;;;;;
206;1,0726;;;;;;;;;;;;;;;
207;1,0698;;;;;;;;;;;;;;;
208;1,0669;;;;;;;;;;;;;;;
209;1,0639;;;;;;;;;;;;;;;
210;1,0612;;;;;;;;;;;;;;;
211;1,0583;;;;;;;;;;;;;;;
212;1,0555;;;;;;;;;;;;;;;
213;1,0527;;;;;;;;;;;;;;;
214;1,0498;;;;;;;;;;;;;;;
215;1,047;;;;;;;;;;;;;;;
216;1,0441;;;;;;;;;;;;;;;
217;1,0413;;;;;;;;;;;;;;;
218;1,0385;;;;;;;;;;;;;;;
219;1,0356;;;;;;;;;;;;;;;
220;1,0329;;;;;;;;;;;;;;;
221;1,0299;;;;;;;;;;;;;;;
222;1,0271;;;;;;;;;;;;;;;
223;1,0243;;;;;;;;;;;;;;;
224;1,0215;;;;;;;;;;;;;;;
225;1,0186;;;;;;;;;;;;;;;
226;1,0159;;;;;;;;;;;;;;;
227;1,013;;;;;;;;;;;;;;;
228;1,0102;;;;;;;;;;;;;;;
229;1,0074;;;;;;;;;;;;;;;
230;1,0045;;;;;;;;;;;;;;;
231;1,0017;;;;;;;;;;;;;;;
232;0,9988;;;;;;;;;;;;;;;
233;0,9962;;;;;;;;;;;;;;;
234;0,9934;;;;;;;;;;;;;;;
235;0,9904;;;;;;;;;;;;;;;
236;0,9878;;;;;;;;;;;;;;;
237;0,9849;;;;;;;;;;;;;;;
238;0,9821;;;;;;;;;;;;;;;
239;0,9793;;;;;;;;;;;;;;;
240;0,9765;;;;;;;;;;;;;;;
241;0,9737;;;;;;;;;;;;;;;
242;0,9709;;;;;;;;;;;;;;;
243;0,968;;;;;;;;;;;;;;;
244;0,9653;;;;;;;;;;;;;;;
245;0,9624;;;;;;;;;;;;;;;
246;0,9596;;;;;;;;;;;;;;;
247;0,9569;;;;;;;;;;;;;;;
248;0,9539;;;;;;;;;;;;;;;
249;0,9513;;;;;;;;;;;;;;;
250;0,9485;;;;;;;;;;;;;;;
251;0,9457;;;;;;;;;;;;;;;
252;0,943;;;;;;;;;;;;;;;
253;0,9401;;;;;;;;;;;;;;;
254;0,9373;;;;;;;;;;;;;;;
255;0,9345;;;;;;;;;;;;;;;
256;0,9317;;;;;;;;;;;;;;;
257;0,9289;;;;;;;;;;;;;;;
258;0,9261;;;;;;;;;;;;;;;
259;0,9234;;;;;;;;;;;;;;;
260;0,9205;;;;;;;;;;;;;;;
261;0,9179;;;;;;;;;;;;;;;
262;0,915;;;;;;;;;;;;;;;
263;0,9122;;;;;;;;;;;;;;;
264;0,9094;;;;;;;;;;;;;;;
265;0,9066;;;;;;;;;;;;;;;
266;0,9038;;;;;;;;;;;;;;;
267;0,9011;;;;;;;;;;;;;;;
268;0,8983;;;;;;;;;;;;;;;
269;0,8955;;;;;;;;;;;;;;;
270;0,8927;;;;;;;;;;;;;;;
271;0,89;;;;;;;;;;;;;;;
272;0,8872;;;;;;;;;;;;;;;
273;0,8844;;;;;;;;;;;;;;;
274;0,8817;;;;;;;;;;;;;;;
275;0,8789;;;;;;;;;;;;;;;
276;0,8761;;;;;;;;;;;;;;;
277;0,8733;;;;;;;;;;;;;;;
278;0,8706;;;;;;;;;;;;;;;
279;0,8678;;;;;;;;;;;;;;;
280;0,8651;;;;;;;;;;;;;;;
281;0,8624;;;;;;;;;;;;;;;
282;0,8596;;;;;;;;;;;;;;;
283;0,8568;;;;;;;;;;;;;;;
284;0,854;;;;;;;;;;;;;;;
285;0,8513;;;;;;;;;;;;;;;
286;0,8485;;;;;;;;;;;;;;;
287;0,8458;;;;;;;;;;;;;;;
288;0,843;;;;;;;;;;;;;;;
289;0,8403;;;;;;;;;;;;;;;
290;0,8375;;;;;;;;;;;;;;;
291;0,8347;;;;;;;;;;;;;;;
292;0,832;;;;;;;;;;;;;;;
293;0,8293;;;;;;;;;;;;;;;
294;0,8265;;;;;;;;;;;;;;;
295;0,8238;;;;;;;;;;;;;;;
296;0,821;;;;;;;;;;;;;;;
297;0,8183;;;;;;;;;;;;;;;
298;0,8156;;;;;;;;;;;;;;;
299;0,8128;;;;;;;;;;;;;;;
300;0,81;;;;;;;;;;;;;;;
