HCLk-010.kin - RawData;;;;;;;;;;;;;;;
Time ( Second );Abs.;;;;;;;;;;;;;;
150;1,3272;;;;;;;;;;;;;;
151;1,3243;;;;;;;;;;;;;;
152;1,3218;;;;;;;;;;;;;;
153;1,319;;;;;;;;;;;;;;
154;1,3164;;;;;;;;;;;;;;
155;1,3136;;;;;;;;;;;;;;
156;1,3108;;;;;;;;;;;;;;
157;1,3082;;;;;;;;;;;;;;
158;1,3054;;;;;;;;;;;;;;
159;1,3026;;;;;;;;;;;;;;
160;1,3;;;;;;;;;;;;;;
161;1,2972;;;;;;;;;;;;;;
162;1,2945;;;;;;;;;;;;;;
163;1,2918;;;;;;;;;;;;;;
164;1,2892;;;;;;;;;;;;;;
165;1,2863;;;;;;;;;;;;;;
166;1,2837;;;;;;;;;;;;;;
167;1,2809;;;;;;;;;;;;;;
168;1,2783;;;;;;;;;;;;;;
169;1,2755;;;;;;;;;;;;;;
170;1,2729;;;;;;;;;;;;;;
171;1,27;;;;;;;;;;;;;;
172;1,2674;;;;;;;;;;;;;;
173;1,2647;;;;;;;;;;;;;;
174;1,262;;;;;;;;;;;;;;
175;1,2593;;;;;;;;;;;;;;
176;1,2565;;;;;;;;;;;;;;
177;1,2538;;;;;;;;;;;;;;
178;1,251;;;;;;;;;;;;;;
179;1,2485;;;;;;;;;;;;;;
180;1,2456;;;;;;;;;;;;;;
181;1,2431;;;;;;;;;;;;;;
182;1,2404;;;;;;;;;;;;;;
183;1,2376;;;;;;;;;;;;;;
184;1,2348;;;;;;;;;;;;;;
185;1,2323;;;;;;;;;;;;;;
186;1,2296;;;;;;;;;;;;;;
187;1,2267;;;;;;;;;;;;;;
188;1,224;;;;;;;;;;;;;;
189;1,2213;;;;;;;;;;;;;;
190;1,2187;;;;;;;;;;;;;;
191;1,2157;;;;;;;;;;;;;;
192;1,2133;;;;;;;;;;;;;;
193;1,2106;;;;;;;;;;;;;;
194;1,2079;;;;;;;;;;;;;;
195;1,2051;;;;;;;;;;;;;;
196;1,2025;;;;;;;;;;;;;;
197;1,1997;;;;;;;;;;;;;;
198;1,1972;;;;;;;;;;;;;;
199;1,1944;;;;;;;;;;;;;;
200;1,1916;;;;;;;;;;;;;;
201;1,1891;;;;;;;;;;;;;;
202;1,1863;;;;;;;;;;;;;;
203;1,1837;;;;;;;;;;;;;;
204;1,1809;;;;;;;;;;;;;;
205;1,1781;;;;;;;;;;;;;;
206;1,1755;;;;;;;;;;;;;;
207;1,1728;;;;;;;;;;;;;;
208;1,1703;;;;;;;;;;;;;;
209;1,1674;;;;;;;;;;;;;;
210;1,1648;;;;;;;;;;;;;;
211;1,1621;;;;;;;;;;;;;;
212;1,1595;;;;;;;;;;;;;;
213;1,1567;;;;;;;;;;;;;;
214;1,1539;;;;;;;;;;;;;;
215;1,1513;;;;;;;;;;;;;;
216;1,1488;;;;;;;;;;;;;;
217;1,1459;;;;;;;;;;;;;;
218;1,1434;;;;;;;;;;;;;;
219;1,1406;;;;;;;;;;;;;;
220;1,1381;;;;;;;;;;;;;;
221;1,1353;;;;;;;;;;;;;;
222;1,1326;;;;;;;;;;;;;;
223;1,1299;;;;;;;;;;;;;;
