HCLk-011.kin - RawData;;;;;;;;;;;;;;;;;
Time ( Second );Abs.;;;;;;;;;;;;;;;;
137;2,7664;;;;;;;;;;;;;;;;
138;2,7568;;;;;;;;;;;;;;;;
139;2,7526;;;;;;;;;;;;;;;;
140;2,747;;;;;;;;;;;;;;;;
141;2,7498;;;;;;;;;;;;;;;;
142;2,7478;;;;;;;;;;;;;;;;
143;2,7411;;;;;;;;;;;;;;;;
144;2,7401;;;;;;;;;;;;;;;;
145;2,7359;;;;;;;;;;;;;;;;
146;2,7319;;;;;;;;;;;;;;;;
147;2,7264;;;;;;;;;;;;;;;;
148;2,7319;;;;;;;;;;;;;;;;
149;2,7221;;;;;;;;;;;;;;;;
150;2,7213;;;;;;;;;;;;;;;;
151;2,7132;;;;;;;;;;;;;;;;
152;2,7124;;;;;;;;;;;;;;;;
153;2,7096;;;;;;;;;;;;;;;;
154;2,7033;;;;;;;;;;;;;;;;
155;2,7037;;;;;;;;;;;;;;;;
156;2,6943;;;;;;;;;;;;;;;;
157;2,6982;;;;;;;;;;;;;;;;
158;2,6951;;;;;;;;;;;;;;;;
159;2,6936;;;;;;;;;;;;;;;;
160;2,6894;;;;;;;;;;;;;;;;
161;2,6892;;;;;;;;;;;;;;;;
162;2,6834;;;;;;;;;;;;;;;;
163;2,6819;;;;;;;;;;;;;;;;
164;2,6771;;;;;;;;;;;;;;;;
165;2,6746;;;;;;;;;;;;;;;;
166;2,669;;;;;;;;;;;;;;;;
167;2,6664;;;;;;;;;;;;;;;;
168;2,6611;;;;;;;;;;;;;;;;
169;2,6635;;;;;;;;;;;;;;;;
170;2,6527;;;;;;;;;;;;;;;;
171;2,6572;;;;;;;;;;;;;;;;
172;2,6512;;;;;;;;;;;;;;;;
173;2,6526;;;;;;;;;;;;;;;;
174;2,6459;;;;;;;;;;;;;;;;
175;2,6427;;;;;;;;;;;;;;;;
176;2,6416;;;;;;;;;;;;;;;;
177;2,637;;;;;;;;;;;;;;;;
178;2,6361;;;;;;;;;;;;;;;;
179;2,6324;;;;;;;;;;;;;;;;
