HCLk-014.kin - RawData;;;;;;;;;;;;;;;;
Time ( Second );Abs.;;;;;;;;;;;;;;;
143;2,7905;;;;;;;;;;;;;;;
144;2,7864;;;;;;;;;;;;;;;
145;2,7843;;;;;;;;;;;;;;;
146;2,78;;;;;;;;;;;;;;;
147;2,7782;;;;;;;;;;;;;;;
148;2,7731;;;;;;;;;;;;;;;
149;2,771;;;;;;;;;;;;;;;
150;2,7658;;;;;;;;;;;;;;;
151;2,7599;;;;;;;;;;;;;;;
152;2,7602;;;;;;;;;;;;;;;
153;2,7554;;;;;;;;;;;;;;;
154;2,7505;;;;;;;;;;;;;;;
155;2,7485;;;;;;;;;;;;;;;
156;2,7456;;;;;;;;;;;;;;;
157;2,7411;;;;;;;;;;;;;;;
158;2,74;;;;;;;;;;;;;;;
159;2,7328;;;;;;;;;;;;;;;
160;2,729;;;;;;;;;;;;;;;
161;2,7283;;;;;;;;;;;;;;;
162;2,7218;;;;;;;;;;;;;;;
163;2,7209;;;;;;;;;;;;;;;
164;2,7156;;;;;;;;;;;;;;;
165;2,7121;;;;;;;;;;;;;;;
166;2,7068;;;;;;;;;;;;;;;
167;2,7059;;;;;;;;;;;;;;;
168;2,7005;;;;;;;;;;;;;;;
169;2,6958;;;;;;;;;;;;;;;
170;2,695;;;;;;;;;;;;;;;
171;2,6907;;;;;;;;;;;;;;;
172;2,6858;;;;;;;;;;;;;;;
173;2,683;;;;;;;;;;;;;;;
174;2,6815;;;;;;;;;;;;;;;
175;2,6785;;;;;;;;;;;;;;;
176;2,6768;;;;;;;;;;;;;;;
177;2,6693;;;;;;;;;;;;;;;
178;2,6697;;;;;;;;;;;;;;;
179;2,664;;;;;;;;;;;;;;;
180;2,6592;;;;;;;;;;;;;;;
181;2,6534;;;;;;;;;;;;;;;
182;2,6503;;;;;;;;;;;;;;;
183;2,6488;;;;;;;;;;;;;;;
184;2,6438;;;;;;;;;;;;;;;
185;2,6411;;;;;;;;;;;;;;;
186;2,6346;;;;;;;;;;;;;;;
187;2,6324;;;;;;;;;;;;;;;
188;2,6299;;;;;;;;;;;;;;;
189;2,6266;;;;;;;;;;;;;;;
190;2,6257;;;;;;;;;;;;;;;
191;2,6208;;;;;;;;;;;;;;;
192;2,6158;;;;;;;;;;;;;;;
193;2,6136;;;;;;;;;;;;;;;
194;2,61;;;;;;;;;;;;;;;
195;2,6075;;;;;;;;;;;;;;;
196;2,6;;;;;;;;;;;;;;;
197;2,5963;;;;;;;;;;;;;;;
198;2,5971;;;;;;;;;;;;;;;
199;2,5931;;;;;;;;;;;;;;;
200;2,5885;;;;;;;;;;;;;;;
201;2,5855;;;;;;;;;;;;;;;
202;2,5816;;;;;;;;;;;;;;;
203;2,5794;;;;;;;;;;;;;;;
204;2,5762;;;;;;;;;;;;;;;
205;2,572;;;;;;;;;;;;;;;
206;2,5669;;;;;;;;;;;;;;;
207;2,5656;;;;;;;;;;;;;;;
208;2,5581;;;;;;;;;;;;;;;
209;2,5594;;;;;;;;;;;;;;;
