HCLk-015.kin - RawData;;;;;;;;;;;;;;;
Time ( Second );Abs.;;;;;;;;;;;;;;
150;2,5891;;;;;;;;;;;;;;
151;2,5815;;;;;;;;;;;;;;
152;2,5763;;;;;;;;;;;;;;
153;2,5723;;;;;;;;;;;;;;
154;2,5687;;;;;;;;;;;;;;
155;2,5604;;;;;;;;;;;;;;
156;2,5574;;;;;;;;;;;;;;
157;2,5523;;;;;;;;;;;;;;
158;2,547;;;;;;;;;;;;;;
159;2,5439;;;;;;;;;;;;;;
160;2,538;;;;;;;;;;;;;;
161;2,5311;;;;;;;;;;;;;;
162;2,5262;;;;;;;;;;;;;;
163;2,522;;;;;;;;;;;;;;
164;2,5153;;;;;;;;;;;;;;
165;2,5107;;;;;;;;;;;;;;
166;2,5078;;;;;;;;;;;;;;
167;2,5033;;;;;;;;;;;;;;
168;2,4971;;;;;;;;;;;;;;
169;2,4946;;;;;;;;;;;;;;
170;2,4894;;;;;;;;;;;;;;
171;2,4816;;;;;;;;;;;;;;
172;2,4747;;;;;;;;;;;;;;
173;2,4721;;;;;;;;;;;;;;
174;2,4664;;;;;;;;;;;;;;
175;2,461;;;;;;;;;;;;;;
176;2,4565;;;;;;;;;;;;;;
177;2,4481;;;;;;;;;;;;;;
178;2,4454;;;;;;;;;;;;;;
179;2,4407;;;;;;;;;;;;;;
180;2,4353;;;;;;;;;;;;;;
181;2,4301;;;;;;;;;;;;;;
182;2,428;;;;;;;;;;;;;;
183;2,4215;;;;;;;;;;;;;;
184;2,4146;;;;;;;;;;;;;;
185;2,414;;;;;;;;;;;;;;
186;2,4059;;;;;;;;;;;;;;
187;2,4014;;;;;;;;;;;;;;
188;2,3978;;;;;;;;;;;;;;
189;2,3907;;;;;;;;;;;;;;
190;2,386;;;;;;;;;;;;;;
191;2,381;;;;;;;;;;;;;;
192;2,375;;;;;;;;;;;;;;
193;2,3712;;;;;;;;;;;;;;
194;2,3653;;;;;;;;;;;;;;
195;2,3609;;;;;;;;;;;;;;
196;2,3545;;;;;;;;;;;;;;
197;2,3513;;;;;;;;;;;;;;
198;2,3475;;;;;;;;;;;;;;
199;2,3402;;;;;;;;;;;;;;
200;2,3366;;;;;;;;;;;;;;
201;2,3312;;;;;;;;;;;;;;
202;2,3257;;;;;;;;;;;;;;
203;2,3229;;;;;;;;;;;;;;
204;2,3175;;;;;;;;;;;;;;
205;2,312;;;;;;;;;;;;;;
206;2,3069;;;;;;;;;;;;;;
207;2,3011;;;;;;;;;;;;;;
208;2,2948;;;;;;;;;;;;;;
209;2,2903;;;;;;;;;;;;;;
210;2,2864;;;;;;;;;;;;;;
211;2,2795;;;;;;;;;;;;;;
212;2,276;;;;;;;;;;;;;;
213;2,2715;;;;;;;;;;;;;;
214;2,2674;;;;;;;;;;;;;;
215;2,2619;;;;;;;;;;;;;;
216;2,2567;;;;;;;;;;;;;;
217;2,2501;;;;;;;;;;;;;;
218;2,2455;;;;;;;;;;;;;;
