HCLk-013.kin - RawData;;;;;;;;;;;;;;;;
Time ( Second );Abs.;;;;;;;;;;;;;;;
0;3,5045;;;;;;;;;;;;;;;
1;3,4883;;;;;;;;;;;;;;;
2;3,4733;;;;;;;;;;;;;;;
3;3,4535;;;;;;;;;;;;;;;
4;3,4682;;;;;;;;;;;;;;;
5;3,4781;;;;;;;;;;;;;;;
6;3,4832;;;;;;;;;;;;;;;
7;3,4782;;;;;;;;;;;;;;;
8;3,444;;;;;;;;;;;;;;;
9;3,4534;;;;;;;;;;;;;;;
10;3,4732;;;;;;;;;;;;;;;y
11;3,4486;;;;;;;;;;;;;;;-0,0026
12;3,448;;;;;;;;;;;;;;;
13;3,4438;;;;;;;;;;;;;;;
14;3,4342;;;;;;;;;;;;;;;
15;3,4165;;;;;;;;;;;;;;;
16;3,4346;;;;;;;;;;;;;;;
17;3,4485;;;;;;;;;;;;;;;
18;3,4119;;;;;;;;;;;;;;;
19;3,4208;;;;;;;;;;;;;;;
20;3,4206;;;;;;;;;;;;;;;
21;3,3906;;;;;;;;;;;;;;;
22;3,4252;;;;;;;;;;;;;;;
23;3,4251;;;;;;;;;;;;;;;
24;3,4033;;;;;;;;;;;;;;;
25;3,3824;;;;;;;;;;;;;;;
26;3,3866;;;;;;;;;;;;;;;
27;3,3947;;;;;;;;;;;;;;;
28;3,3987;;;;;;;;;;;;;;;
29;3,3822;;;;;;;;;;;;;;;
30;3,3908;;;;;;;;;;;;;;;
31;3,3909;;;;;;;;;;;;;;;
32;3,3741;;;;;;;;;;;;;;;
33;3,3704;;;;;;;;;;;;;;;
34;3,3544;;;;;;;;;;;;;;;
35;3,3783;;;;;;;;;;;;;;;
36;3,3507;;;;;;;;;;;;;;;
37;3,3545;;;;;;;;;;;;;;;
38;3,3506;;;;;;;;;;;;;;;
39;3,3505;;;;;;;;;;;;;;;
40;3,3467;;;;;;;;;;;;;;;
41;3,3468;;;;;;;;;;;;;;;
42;3,332;;;;;;;;;;;;;;;
43;3,3284;;;;;;;;;;;;;;;
44;3,3356;;;;;;;;;;;;;;;
45;3,3284;;;;;;;;;;;;;;;
46;3,3282;;;;;;;;;;;;;;;
47;3,3143;;;;;;;;;;;;;;;
48;3,3177;;;;;;;;;;;;;;;
49;3,3284;;;;;;;;;;;;;;;
50;3,3039;;;;;;;;;;;;;;;
51;3,3211;;;;;;;;;;;;;;;
52;3,297;;;;;;;;;;;;;;;
53;3,2972;;;;;;;;;;;;;;;
54;3,3072;;;;;;;;;;;;;;;
55;3,2904;;;;;;;;;;;;;;;
56;3,3005;;;;;;;;;;;;;;;
57;3,3005;;;;;;;;;;;;;;;
58;3,3142;;;;;;;;;;;;;;;
59;3,2871;;;;;;;;;;;;;;;
60;3,2771;;;;;;;;;;;;;;;
61;3,2771;;;;;;;;;;;;;;;
62;3,2805;;;;;;;;;;;;;;;
63;3,2868;;;;;;;;;;;;;;;
64;3,2806;;;;;;;;;;;;;;;
65;3,2614;;;;;;;;;;;;;;;
66;3,274;;;;;;;;;;;;;;;
67;3,2806;;;;;;;;;;;;;;;
68;3,2647;;;;;;;;;;;;;;;
69;3,2582;;;;;;;;;;;;;;;
70;3,2523;;;;;;;;;;;;;;;
71;3,2585;;;;;;;;;;;;;;;
72;3,249;;;;;;;;;;;;;;;
73;3,2553;;;;;;;;;;;;;;;
74;3,2617;;;;;;;;;;;;;;;
75;3,2404;;;;;;;;;;;;;;;
76;3,2405;;;;;;;;;;;;;;;
77;3,2434;;;;;;;;;;;;;;;
78;3,2404;;;;;;;;;;;;;;;
79;3,2315;;;;;;;;;;;;;;;
80;3,2317;;;;;;;;;;;;;;;
81;3,2287;;;;;;;;;;;;;;;
82;3,2259;;;;;;;;;;;;;;;
83;3,2314;;;;;;;;;;;;;;;
84;3,2202;;;;;;;;;;;;;;;
85;3,2258;;;;;;;;;;;;;;;
86;3,2201;;;;;;;;;;;;;;;
87;3,2092;;;;;;;;;;;;;;;
88;3,2145;;;;;;;;;;;;;;;
89;3,2063;;;;;;;;;;;;;;;
90;3,2088;;;;;;;;;;;;;;;
91;3,2007;;;;;;;;;;;;;;;
92;3,1929;;;;;;;;;;;;;;;
93;3,1981;;;;;;;;;;;;;;;
94;3,1822;;;;;;;;;;;;;;;
95;3,1956;;;;;;;;;;;;;;;
96;3,1902;;;;;;;;;;;;;;;
97;3,1871;;;;;;;;;;;;;;;
98;3,1799;;;;;;;;;;;;;;;
99;3,1719;;;;;;;;;;;;;;;
100;3,1798;;;;;;;;;;;;;;;
101;3,1619;;;;;;;;;;;;;;;
102;3,1695;;;;;;;;;;;;;;;
103;3,1718;;;;;;;;;;;;;;;
104;3,1597;;;;;;;;;;;;;;;
105;3,167;;;;;;;;;;;;;;;
106;3,1667;;;;;;;;;;;;;;;
107;3,1572;;;;;;;;;;;;;;;
108;3,1572;;;;;;;;;;;;;;;
109;3,145;;;;;;;;;;;;;;;
110;3,1525;;;;;;;;;;;;;;;
111;3,1476;;;;;;;;;;;;;;;
112;3,1358;;;;;;;;;;;;;;;
113;3,1406;;;;;;;;;;;;;;;
114;3,1451;;;;;;;;;;;;;;;
115;3,1381;;;;;;;;;;;;;;;
116;3,136;;;;;;;;;;;;;;;
117;3,1359;;;;;;;;;;;;;;;
118;3,1356;;;;;;;;;;;;;;;
119;3,1291;;;;;;;;;;;;;;;
120;3,1336;;;;;;;;;;;;;;;
121;3,1244;;;;;;;;;;;;;;;
